,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17
wind_total_midday,0.16734979293813015,-0.009458494652423604,-0.09624476789833741,-0.046362295513871846,0.007750733740905068,0.010388548976090857,-0.07508908545606778,-0.00981234650328174,-0.09776580584978947,0.07512560350299494,0.08812283628330653,-0.042383300991989864,0.010559829849895008,0.017066852105562334,0.08012613398776021,0.02649849113816163,-0.019762191188569193
wind_total_evening,0.16361598254222567,0.0048354303400152425,-0.07199385246319628,-0.14390791142958917,0.04331653577867143,-0.0527403612125593,0.03978780246751528,0.046992770776044905,-0.0529844438135132,0.007634883768944332,0.039224038700560016,-0.0019318518329306407,0.024220624664692648,-0.02938523288843641,0.10176281641365499,0.049464636581627246,-0.02845904160807846
wind_total_night,0.14368329653616355,0.011638090113858603,-0.05107272343717364,-0.19278710940232424,0.0783310415609438,-0.09993264938372151,0.1285429358700339,0.07337794235150247,0.019539602516483814,-0.06690079132100708,-0.051457486359606,0.04016480094553892,-0.023217284250538987,-0.014845657049148009,0.020343767010276428,-0.04594002784079977,0.01455883645863784
residual_load_overnight,-0.12549725529551625,0.06529588912566568,0.12531806608851653,-0.10503604155287447,-0.025614589089906274,-0.0223484523014628,0.06923284828858668,0.16062089712218008,-0.027553034642887168,0.0260268007826697,0.09404751048441169,-0.06647492638859599,0.021278821769970733,-0.0371841349000294,0.19506217242239218,-0.044373889829400964,-0.03480464989054652
residual_load_morning,-0.08489788813867241,0.06906431859542508,0.2167029182165821,-0.07177758302143519,-0.05519469594183054,-0.0037718477300685395,0.13147529374757785,0.043022996076527924,0.08326428402953975,0.027029415871896587,0.03336818716481769,0.013840752922977054,-0.00350164153371623,-0.05088125561344905,0.025620732150742547,0.06578310328842454,-0.0665665546421831
residual_load_midday,-0.07906849901481403,0.052813729098642806,0.2368725501667896,0.0038633508280499947,-0.045141780271440585,0.017742490753087942,0.11959445376241652,-0.051051669413905966,0.09511781829377701,0.018079950876134586,-0.05053011674178147,0.039840220794030316,-0.005101781213984803,-0.015542182631295849,-0.12444239510038747,0.023127684496207335,-0.011246436104330237
residual_load_evening,-0.12155934151611879,0.031499972770000995,0.15351128869253172,0.16883740421428967,-0.09192296665911047,0.09267924135432695,-0.028524530053029847,-0.030897416067663698,0.08114136557170364,0.050259641652409606,-0.02616267206605769,0.022680553913202905,-0.023801032293128254,0.038765913009703404,-0.0618601386095395,-0.029101936904227563,0.02692709794657243
residual_load_night,-0.11669333849462293,0.008726987459318379,0.09575293657200137,0.21669236798369856,-0.11629077795449894,0.13669363613392677,-0.12546498726778393,-0.04031474025067117,-0.009788669571943074,0.10481783764081631,0.055916815675008766,-0.02709195364265097,0.028483858696687646,0.017981787718981054,0.029730122457988516,0.06957874974498904,-0.013267118220938642
evening_ramp_load,0.006337908234942296,0.047647883310561086,0.030836599449445914,0.17758515141032688,0.2456493276405748,-0.06629598312434498,-0.004521286816379957,0.07951315264847508,0.08450296660168438,0.030215454163592708,0.0147194201325284,0.18308522510145517,0.08945694231173087,-0.03017114269078702,0.17636827282840026,0.32385480603186945,-0.029491664438914794
morning_ramp_load,0.03565027482776552,0.021580716216518636,0.0419851040566852,-0.20206820372446857,-0.3252896014142108,0.08066883782908948,0.006172152463312706,-0.03797147691848773,-0.02805956061512991,0.09427597954305766,-0.04821824064116051,0.08066244451888378,-0.02558524603042261,0.031193425771282195,-0.11450229971978079,-0.04085554219041283,-0.03459033014604728
evening_ramp_residual,-0.04234981111998036,-0.03814783844948286,-0.15474268287385703,0.2198391938660428,-0.05428729351539869,0.09693573627709169,-0.2198750873385057,0.03627564627985015,-0.03607232646545104,0.039714306378377695,0.04181270578981936,-0.03022283821557245,-0.02406545270417881,0.07544290676632513,0.10641160563750875,-0.07405096018572,0.053088151539590296
night_decay_residual,-0.02069560047430008,-0.04364662186646188,-0.09145188143307414,0.15316719873410817,-0.07954875238637993,0.1245060390177478,-0.2283109640998614,-0.029532972353253636,-0.1859458204768875,0.13743676980719952,0.1801562779826829,-0.10746373732564335,0.11289459310604474,-0.03721585972331794,0.19249101865144247,0.21720926571219887,-0.08453187365787714
solar_concentration,0.10700686416116412,0.06444500135609167,0.12398655904279966,0.0894023228364406,0.06931990977014435,-0.0030859113531542318,-0.06695677554164674,-0.021573252380451526,-0.0015528130040599972,-0.01713421965715872,-0.11016047938867651,0.02753228552228095,-0.049165073692491526,0.11590646927068739,-0.022356451175342004,0.014948171160009502,0.06191080629167112
wind_diurnal_amp,0.07082367700090977,0.01731268850280421,0.011062826864693487,-0.06315446102744994,0.023876434376284384,-0.02901002564465267,0.005357943156189717,0.08965171597432416,0.018960849819513372,-0.015934006613637048,0.3214074285918764,-0.33329290786487503,-0.009597679168075742,0.06544826203684545,-0.16155495915177334,0.11498145150940993,-0.08903092849920718
ttf_momentum_x_rl_evening,-0.006335107336304365,-0.03207138306491125,-0.01988103450982291,-0.08186019922172266,0.18570097420315335,0.3590357044043473,0.042541018771871865,0.042942254407022235,0.05699286788739373,0.01632718256334713,-0.15933566086880158,-0.10620257965255084,0.0928577184089998,-0.08404142814567138,-0.09284831907514164,0.15222933922948503,0.04306595546129771
