,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
pivot_hour_h12,0.1764757999961411,0.03961049238268555,0.08831725340979406,0.026522784625481473,0.1483542133657294,-0.06142873700954008,-0.05309639864818455,-0.01792740026480986,-0.056484865771284865,0.03162204006898659,0.011224994044161694,-0.03699047704497366,-0.02232877397038927,0.04274123518917561,0.020545389693349417
pivot_hour_h13,0.177835462092316,0.02643818344708139,0.08749413950812313,0.011313687895616951,0.14470602876363076,-0.07635841627087477,-0.08059231708581005,0.020559924610136084,-0.027107468248450974,0.011235059687904277,0.00590137303151133,-0.007939455840423115,0.003526591843781692,0.03699537750507755,0.022244689959451877
pivot_hour_h14,0.18233073363278185,0.0023120885725306023,0.04605695264517976,-0.012730031357914296,0.11021610863924833,-0.07376823626526528,-0.09861674218312405,0.04943938442005865,0.009403096067913438,-0.02702750019802595,-0.0018566751611638305,0.010051153222657726,-0.005057250863493983,0.06287617071491865,0.03595523363588847
pivot_hour_h15,0.18320130577457003,-0.01942946791451934,-0.010388029242083352,-0.01338878946206494,0.0578975692174185,-0.09958043546553477,-0.09123852378579966,0.059390694108528465,0.04312269322039687,-0.07785891723356773,-0.042077290740946835,0.021604418398227986,-0.008573079595447387,0.07043502435075766,0.03161756415227461
pivot_hour_h16,0.1815914382238504,-0.025414731398039743,-0.05993633828677511,-0.043987638880731504,0.012213563245524018,-0.10313813849130615,-0.07322692878510148,0.05935311580604258,0.047443829236724876,-0.08659642050737655,-0.039035503697387904,0.02192164058147063,-0.01698465142598342,0.058291783960259747,0.019405537853447417
pivot_hour_h17,0.1760412652012707,-0.04721863220654113,-0.09956978048885895,-0.0776401699490957,-0.022807561470759616,-0.0872635023285035,-0.04762359891440487,0.04352131664830444,0.013569114505299108,-0.07540139424448107,0.0013816172993012799,-0.004716806510693462,-0.016713883297283048,0.007530872132538825,0.013803376920868643
pivot_hour_h18,0.16909414427912564,-0.08197393679638647,-0.12599446878988427,-0.08216039346787185,-0.048187550673593274,-0.059819910279124686,-0.018860489963453027,0.02083766097000665,-0.015925565821721315,-0.019332029335262887,0.020985046879611412,-0.03273340832281961,-0.011630294386083609,-0.04104899689065053,0.01617850891534576
pivot_hour_h19,0.16086268982124707,-0.10181655932051066,-0.13531244125094477,-0.08378034442140839,-0.059928682005305205,-0.06043184831585067,-0.015795961964794106,0.021754405097546312,-0.041942499271948847,0.013847995773258018,0.026544774613030533,-0.03686724461353574,0.002814731227403931,-0.06738354501138837,0.0037733438971309543
pivot_hour_h20,0.15697009313398913,-0.11129884588725068,-0.1290736795881161,-0.09073589482442937,-0.06592044071552722,-0.04928971845836631,-0.010719054155438655,0.019497162668460015,-0.058336078139251846,0.030949494394536616,0.03466452993207719,-0.03499850638716286,-0.002011157205569457,-0.06797342549149295,0.009828837849354306
pivot_hour_h21,0.15234976450379126,-0.11801751836941156,-0.10901645217867624,-0.10536224027883652,-0.06169606787642019,-0.03387758961423676,-0.017651444510184817,0.014080617103412706,-0.07818080979134123,0.05727713203311196,0.03330748675751772,-0.02662666217793646,-0.020873361630182607,-0.05992254578972125,0.014336028465929908
pivot_hour_h22,0.14312020067652978,-0.13999389081948954,-0.0770694359126226,-0.09098036456757863,-0.06333072976331897,0.002135695708778549,-0.0351299685156677,0.014180667778120649,-0.13037524948570714,0.07196925109729371,-0.007470311067817505,-0.034544421660147255,-0.047426908055858315,-0.031816911046064184,-0.037449429909247864
pivot_hour_h23,0.1429609679519669,-0.13585648447225881,-0.04755910261874959,-0.10221044866276384,-0.04438602849668765,0.025244796295338563,-0.038671003436540376,0.009920975886791597,-0.12669732786572793,0.09272183325595384,-0.031050165309795555,-0.0068101951672179285,-0.05272266097129248,-0.029836355747170862,-0.02497949170833758
